ZONEID,ZONELABEL,cycletowork,age25to34,travel10to20km,zerocarsvans
E05000515,Wanstead,2.089235,18,29.9,16.1
E05000516,Barnes,4.955918,19.2,19.5,19.8
E05000517,East Sheen,5.540318,18.9,32.7,14.3
E05000518,Fulwell and Hampton Hill,5.047619,17.8,25.8,13.5
E05000519,"Ham, Petersham and Richmond Rive",5.064481,19.1,27.1,20.3
E05000520,Hampton,4.126547,16.6,19.8,12.5
E05000521,Hampton North,3.666375,18.3,16.8,15.9
E05000522,Hampton Wick,4.374748,17,30.6,17.2
E05000523,Heathfield,2.348232,19.1,19.1,16.2
E05000524,Kew,3.971377,21.8,33.8,17.7
E05000525,Mortlake and Barnes Common,6.043621,25.2,27.1,23.4
E05000526,North Richmond,4.427767,25.6,36,21.5
E05000527,St Margarets and North Twickenha,4.543802,23.4,35,14.2
E05000528,South Richmond,2.575886,25,39.9,25.7
E05000529,South Twickenham,4.005202,19.3,32.7,14
E05000530,Teddington,3.944799,19.2,29.5,14.7
E05000531,Twickenham Riverside,3.582613,26.2,35.6,21.7
E05000532,West Twickenham,4.52465,19.8,23.4,15
E05000533,Whitton,3.684285,19.3,21.9,13.6
E05000534,Brunswick Park,6.26104,27.8,7,53.8
E05000535,Camberwell Green,4.519476,27.5,7.3,62.8
E05000536,Cathedrals,4.300405,29.6,4.5,63.3
E05000537,Chaucer,4.314317,35.2,5.6,64
E05000538,College,3.4917,24.5,17.6,34.6
E05000539,East Dulwich,6.471015,32.3,8.7,33.5
E05000540,East Walworth,4.101367,27.8,7.2,63
E05000541,Faraday,3.943751,26.3,6.8,60.7
E05000542,Grange,4.550823,36,5.5,61.9
E05000543,Livesey,2.625671,25.2,9.3,57.7
E05000544,Newington,5.294858,30.2,6.3,62.5
E05000545,Nunhead,4.306358,27.5,9.4,49.9
E05000546,Peckham,2.758685,26,9.2,55.2
E05000547,Peckham Rye,6.270081,29,8.9,37.6
E05000548,Riverside,3.847735,38.2,5.5,56.7
E05000549,Rotherhithe,3.539087,36.2,7.6,56.2
E05000550,South Bermondsey,3.794323,30.1,7.3,53.3
E05000551,South Camberwell,5.69783,28.8,7.1,44.7
E05000552,Surrey Docks,4.631891,41.1,7.1,43.2
E05000553,The Lane,6.273845,29,8.2,51.4
E05000554,Village,7.202813,20.5,6,20.6
E05000555,Beddington North,1.487779,17.1,23.8,11.3
E05000556,Beddington South,0.984583,16,21.4,16.8
E05000557,Belmont,1.125251,20.2,24.4,13.6
E05000558,Carshalton Central,2.043285,19.6,28.4,13.5
E05000559,Carshalton South and Clockhouse,1.156482,13.6,22.3,8.2
E05000560,Cheam,1.16408,13.9,21,8.3
E05000561,Nonsuch,1.644865,13.9,23.9,9.1
E05000562,St Helier,1.184273,21.8,15.8,24.2
E05000563,Stonecot,1.349094,14.7,19.3,8.9
E05000564,Sutton Central,1.510391,28.1,24.9,29.1
E05000565,Sutton North,1.407117,17.3,21.8,16.3
E05000566,Sutton South,1.230425,28.2,30.4,25.4
E05000567,Sutton West,1.584686,25,27.3,17
E05000568,The Wrythe,1.6018,19.1,22.3,16.1
E05000569,Wallington North,1.42821,19.9,25.8,15.1
E05000570,Wallington South,1.252894,20.6,25.7,19.9
E05000571,Wandle Valley,2.005765,23.6,22,21.5
E05000572,Worcester Park,1.906656,22.2,28,12.6
E05000573,Bethnal Green North,7.553012,37.5,7.6,60.4
E05000574,Bethnal Green South,4.029337,34.9,7.7,61.4
E05000575,Blackwall and Cubitt Town,2.043955,43.8,9.6,53.2
E05000576,Bow East,6.074405,39.2,9.7,56.3
E05000577,Bow West,6.736062,34.4,9.4,52.9
E05000578,Bromley-by-Bow,2.466477,32.8,10.6,54
E05000579,East India and Lansbury,1.503095,29.2,9.9,51.6
E05000580,Limehouse,2.730547,36.3,7.1,51.8
E05000581,Mile End and Globe Town,4.571283,31.7,8.1,59.7
E05000582,Mile End East,2.961531,34.9,10.2,55.5
E05000583,Millwall,1.964463,44.4,6.6,53.1
E05000584,St Dunstan's and Stepney Green,3.529715,30.4,7.4,50.7
E05000585,St Katharine's and Wapping,4.858572,38.8,3.9,49.1
E05000586,Shadwell,3.027352,36.4,6.5,54.8
E05000587,Spitalfields and Banglatown,4.187392,39.1,5.1,64.9
E05000588,Weavers,7.439678,39.4,5.9,63.2
E05000589,Whitechapel,4.159057,41.1,5.9,63
E05000590,Cann Hall,1.781759,28.8,21.2,42.1
E05000591,Cathall,1.506024,32,20.4,47.9
E05000592,Chapel End,1.942418,25.3,29.4,29.3
E05000593,Chingford Green,0.68918,16.4,34.9,16.7
E05000594,Endlebury,0.698945,15.1,32.1,15
E05000595,Forest,2.076017,27.6,22.5,34.2
E05000596,Grove Green,2.038664,35.4,23.1,42.3
E05000597,Hale End and Highams Park,1.533554,18.2,32.8,17.9
E05000598,Hatch Lane,1.097515,17.1,33,19.7
E05000599,High Street,2.604934,35.3,24.5,43.5
E05000600,Higham Hill,1.335436,24.8,25.6,34.8
E05000601,Hoe Street,1.908802,30.1,29.1,45.7
E05000602,Larkswood,0.954362,18,29.6,20.1
E05000603,Lea Bridge,2.303415,27.6,16.3,39.8
E05000604,Leyton,1.522646,29.8,17.1,44.6
E05000605,Leytonstone,1.87579,33.4,29,37.5
E05000606,Markhouse,1.896397,28,20.1,39.9
E05000607,Valley,1.124547,17.9,27.6,21.6
E05000608,William Morris,2.405815,29.5,28.1,42
E05000609,Wood Street,2.216927,26.2,28.2,35.9
E05000610,Balham,6.103169,41.4,10.6,34.5
E05000611,Bedford,5.332886,41.5,20.5,39.3
E05000612,Earlsfield,4.861276,42.2,24.1,35.1
E05000613,East Putney,5.365774,41.9,22.5,36.8
E05000614,Fairfield,6.006809,45.9,12,40.2
E05000615,Furzedown,4.581428,24.9,25.4,33.8
E05000616,Graveney,3.748947,36,29.6,45.1
E05000617,Latchmere,4.512924,34.8,8.7,56.9
E05000618,Nightingale,6.263499,38.5,13.7,34.6
E05000619,Northcote,6.950865,39.6,10.3,32
E05000620,Queenstown,6.018656,38.5,6.5,55.2
E05000621,Roehampton and Putney Heath,2.67135,23.7,17.8,46.6
E05000622,St Mary's Park,6.798783,35.9,6.7,44.7
E05000623,Shaftesbury,7.053278,43.2,10,40.7
E05000624,Southfields,5.38395,36.2,22.2,32
E05000625,Thamesfield,6.570553,38.1,20.7,30.7
E05000626,Tooting,2.647754,31.6,23.8,45.2
E05000627,Wandsworth Common,6.154624,32.4,14.8,22.9
E05000628,West Hill,3.356399,33.9,21.5,33.8
E05000629,West Putney,4.775255,29.5,22.8,33.2
E05000630,Abbey Road,1.862175,28.9,8.4,39.9
E05000631,Bayswater,4.18487,37.9,6.7,56.5
E05000632,Bryanston and Dorset Square,2.970492,35.6,6.3,63.6
E05000633,Churchill,3.078888,25.6,3.9,60.1
E05000634,Church Street,1.76394,24.3,6,63.9
E05000635,Harrow Road,3.822548,32.3,5.7,57.5
E05000636,Hyde Park,2.641728,33.5,6.4,58
E05000637,Knightsbridge and Belgravia,1.510613,19,3.2,34.2
E05000638,Lancaster Gate,3.978089,39.9,7,63.7
E05000639,Little Venice,2.963052,31.1,6.9,47.8
E05000640,Maida Vale,3.466969,34,6.8,51.4
E05000641,Marylebone High Street,2.946119,33.7,2.3,59.8
E05000642,Queen's Park,3.284828,25.8,6.6,55.6
E05000643,Regent's Park,1.867941,28.1,8.2,49.3
E05000644,St James's,2.212484,28.3,2.5,62.9
E05000645,Tachbrook,4.012624,31.7,3.6,59.1
E05000646,Vincent Square,2.662648,28.4,3.5,57.5
E05000647,Warwick,3.894631,33.8,3.6,54.7
E05000648,Westbourne,2.80743,29.4,6.2,60.2
E05000649,West End,2.097071,31.3,2.5,65.5
,,,,,64.2
