ZONEID,ZONELABEL,cycletowork,age25to34,travel10to20km,zerocarsvans
E05000178,Greenford Green,0.94518,26.5,25.3,19.2
E05000179,Hanger Hill,1.488172,27.3,29.2,22.7
E05000180,Hobbayne,2.033865,21.7,22.5,25.4
E05000181,Lady Margaret,0.605536,23.7,18.2,17.2
E05000182,Northfield,3.336566,26.3,31.7,22.9
E05000183,North Greenford,0.791197,26.5,26.6,16.7
E05000184,Northolt Mandeville,0.617568,25,27.3,25.3
E05000185,Northolt West End,0.635493,22.9,21,27.6
E05000186,Norwood Green,0.876686,23.6,17.1,25
E05000187,Perivale,1.647446,26.9,23.3,19.5
E05000188,South Acton,2.719418,28.5,22.7,40.5
E05000189,Southall Broadway,0.551157,25,13.8,32
E05000190,Southall Green,0.691117,25.9,13.7,32.9
E05000191,Southfield,4.393325,26.1,23.1,27.5
E05000192,Walpole,3.535451,28.5,32.8,27.5
E05000193,Bowes,1.360731,29,30.5,32
E05000194,Bush Hill Park,1.049122,18.6,30.1,14.6
E05000195,Chase,1.189024,20.2,27.2,21.4
E05000196,Cockfosters,0.388485,17.6,32.9,15.6
E05000197,Edmonton Green,0.6029,23.9,24.5,45
E05000198,Enfield Highway,0.919085,21.5,26.4,27.3
E05000199,Enfield Lock,0.956392,23.8,30.7,28.7
E05000200,Grange,0.824116,18,32.7,13.6
E05000201,Haselbury,0.55628,20.9,25.1,33.4
E05000202,Highlands,0.813602,19,32.5,13.9
E05000203,Jubilee,0.592827,20.9,27.3,27.9
E05000204,Lower Edmonton,0.635762,22.8,25.9,39.9
E05000205,Palmers Green,0.902242,24,30.4,22.7
E05000206,Ponders End,0.733496,23.9,26.8,33.9
E05000207,Southbury,1.227592,22.7,27.4,28.3
E05000208,Southgate,0.544908,24.5,37.5,20.1
E05000209,Southgate Green,0.943672,21.6,31,20.1
E05000210,Town,1.130048,19.4,30.4,15.6
E05000211,Turkey Street,0.917154,21.1,25.3,26.4
E05000212,Upper Edmonton,0.682622,23.1,21.4,36.4
E05000213,Winchmore Hill,0.975463,21,37.1,16.1
E05000214,Abbey Wood,0.589391,21.9,30.9,37.5
E05000215,Blackheath Westcombe,3.369754,26.9,25,27.5
E05000216,Charlton,1.912282,26.1,26.8,37.6
E05000217,Coldharbour and New Eltham,0.734214,17.7,32.4,16.9
E05000218,Eltham North,1.47155,15.3,33.1,17.2
E05000219,Eltham South,0.919662,19,32.8,24.8
E05000220,Eltham West,0.876029,19.4,27.8,26.5
E05000221,Glyndon,0.737046,29.2,32.1,45.8
E05000222,Greenwich West,2.725528,33.1,11.7,46.1
E05000223,Kidbrooke with Hornfair,1.723158,23.7,27.5,29.2
E05000224,Middle Park and Sutcliffe,1.637985,21.4,27.4,27.7
E05000225,Peninsula,2.925604,34.7,19.6,42.8
